Cap waktu,Jenis Kelamin,Domisili Tempat Tinggal,Jurusan,Semester,Pendidikan Terakhir Sebelum Kuliah,Jenis Sekolah,Domisili Sekolah,Asal Kota Domisili,Program Peminatan Sekolah,Lama menempuh pendidikan formal terakhir ,Apakah anda pernah mengikuti bimbel/ kursus/ les selama menempuh pendidikan formal terakhir?,"Jika pernah, dimana lokasi bimbel/ kursus/ les?",Nama instansi pendidikan non formal,Lama waktu mengikuti bimbel selama pendidikan formal terakhir,Apakah anda pernah memperoleh prestasi selama menempuh pendidikan formal terakhir?,Tingkat pencapaian prestasi pada saat pendidikan formal terakhir,Banyak prestasi yang diperoleh pada saat pendidikan formal terakhir,Apakah anda mengikuti ekstrakurikuler pada saat pendidikan formal terakhir?,"Jika Ya, jenis ekstrakurikuler yang diikuti",Jalur masuk UIN Jakarta,Apakah anda memperoleh prestasi saat berkuliah?,"Jika Ya, jenis prestasi yang diperoleh","Jika Ya, Tingkat pencapaian prestasi","Jika Ya, Banyaknya prestasi yang diperoleh pada saat berkuliah",Apakah anda penerima beasiswa?,Hasil Indeks Prestasi Kumulatif (IPK) saat ini
2022/04/13 5:59:47 AM GMT+7,Perempuan,JABODETABEK,Matematika,2,MA,Negeri,Luar JABODETABEK,Mojokerto,IPA,3 Tahun,Pernah,Luar JABODETABEK,,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,2.50 - 3.00
2022/04/13 11:15:09 AM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Barat,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,> 3.50
2022/04/13 11:27:01 AM GMT+7,Perempuan,JABODETABEK,Matematika,2,Pesantren,Swasta,JABODETABEK,Bekasi,IPA,3 Tahun,Pernah,JABODETABEK,Bintang Pelajar,<1 Tahun,Prestasi Akademik,Tingkat sekolah dan kabupaten,> 3,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/13 11:30:51 AM GMT+7,Perempuan,JABODETABEK,Kimia,2,SMA,Negeri,JABODETABEK,Jakarta Selatan ,IPA,3 Tahun,Tidak Pernah,Luar JABODETABEK,,,Prestasi Non-Akademik,Provinsi,3,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,> 3.50
2022/04/13 11:33:26 AM GMT+7,Laki - Laki,JABODETABEK,Sistem Informasi,2,SMA,Negeri,JABODETABEK,Jakarta Timur,IPA,> 3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/13 12:25:11 PM GMT+7,Perempuan,JABODETABEK,Sistem Informasi,>6,SMA,Swasta,JABODETABEK,Tangerang,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,Non - Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/13 12:59:31 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Selatan,IPA,3 Tahun,Pernah,,Ruangguru;Zenius,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/13 1:08:44 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Zenius,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/13 1:26:21 PM GMT+7,Laki - Laki,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Selatan,IPA,3 Tahun,Pernah,,Quipper,1-3 Tahun,Prestasi Non-Akademik,tingkat awal,1,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/13 2:37:57 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Pertambangan,>6,SMA,Negeri,JABODETABEK,Jakarta Utara,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri;Quipper;Private,1-3 Tahun,Prestasi Non-Akademik,Nasional,3,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/13 3:00:46 PM GMT+7,Laki - Laki,JABODETABEK,Sistem Informasi,6,SMA,Negeri,JABODETABEK,Depok,IPA,3 Tahun,Tidak Pernah,JABODETABEK,Ruangguru;Quipper;Zenius,<1 Tahun,Prestasi Non-Akademik,Provinsi,1,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
